run,n_elements,block_size,num_warps,fused_ms,serial_ms,concurrent_ms,stream_speedup,overlap_ratio,nominal_fused_gbps,reqntid,num_ctas,num_stages,shared_bytes,reg_pred_decl,reg_b16_decl,reg_b32_decl,reg_b64_decl,ptx_bytes,cubin_bytes,arch,triton_version,cache_key
balanced_2048,16777216,128,4,0.14899120330810547,0.2607872009277344,0.23847360610961915,1.0935684044122616,0.14293845922954307,900.8433049731483,128,1,3,0,2,6,24,10,7648,6888,sm89,3.6.0,XOLPVZDI7I2AROBDPG22IMJYT7H3VE3HERBHNWJVO6LVJZ47E66Q
balanced_2048,16777216,128,8,0.1562880039215088,0.2816243886947632,0.26087799072265627,1.0795252904035233,0.08637741199621762,858.784581236363,256,1,3,0,4,6,25,10,7728,7016,sm89,3.6.0,65AZS7CQMVWHDBCXIISLEHLYA4EXSVYB7QCM42O6LLL5NGS7X6VQ
balanced_2048,16777216,256,4,0.15750399827957154,0.2750335931777954,0.25573561191558836,1.0754606725189952,0.10818440611068669,852.1544180850691,128,1,3,0,2,7,47,10,8328,7912,sm89,3.6.0,XPYWIFY3H4MU5PQ3WPY2MZ5ZV3NLCR5OOBHE2Z7SKP24G2YVKQ4A
balanced_2048,16777216,256,8,0.16330000162124633,0.2857215881347656,0.2581912040710449,1.1066278929321904,0.11745917341917755,821.9089201927935,256,1,3,0,2,6,24,10,7648,6888,sm89,3.6.0,TSOLNEUBZL2FIQMKSMI3RRXXPQOXEIITTZMP3NT2HMNCZAEHYILQ
balanced_2048,16777216,512,4,0.1647871971130371,0.27891199588775634,0.24673199653625488,1.1304249136847273,0.1608942464397446,814.491236888581,128,1,3,0,2,13,85,10,11046,10344,sm89,3.6.0,KP3ESCFU7GMOHDYGRHTBEMRJJAAAJJWQ2PP2LGGVVPWJ5Q53G77Q
balanced_2048,16777216,512,8,0.1529088020324707,0.28961279392242434,0.2602751970291138,1.1127176051663075,0.07757214803060386,877.763256372242,256,1,3,0,2,7,47,10,8328,7912,sm89,3.6.0,BLAK6DOBJI4OZVBIYAM24TDHTKU2JXDWNQ3IXIQJSKGZAG6S2DVA
balanced_2048,16777216,1024,4,0.15910400152206422,0.27974400520324705,0.2500355958938599,1.1188167196881775,0.13289991225856634,843.5848672315572,128,1,3,0,2,25,161,10,16609,15336,sm89,3.6.0,ZN4ME6JAHC7U44AD5BXJ47ZXTHQPA4UCE2P3K7OJSM7K7VZJTMWA
balanced_2048,16777216,1024,8,0.15897599458694459,0.27866759300231936,0.24140799045562744,1.1543428719006734,0.1624478390280164,844.2641189239159,256,1,3,0,2,13,85,10,11048,10344,sm89,3.6.0,XY4PE27U4ICBL6QBH4DBKG7BN64VZOM672E5AC2X5HLCLF2RD7HA
balanced_2048,16777216,2048,4,0.14216959476470947,0.2514143943786621,0.22708480358123778,1.1071387887420683,0.16335767157494097,944.0677398154662,128,1,3,0,2,49,313,14,28252,25448,sm89,3.6.0,RUDTUN6DUSLIZC6Y6WHFXXJS33DZ3YNOWSQOGG4BX5XLBPOBG3FQ
balanced_2048,16777216,2048,8,0.14215680360794067,0.2814464092254639,0.27664639949798586,1.017350703772716,-0.019288795290083538,944.1526862841112,256,1,3,0,2,25,161,10,16609,15336,sm89,3.6.0,NPFPF77KFPXA6YOJJFYXZVMWXMHL4COEZ462P6GZWRRUOOGJDFSA
