block_size,warps,serial_ms,concurrent_ms,grouped_ms,concurrent_vs_serial_speedup,grouped_vs_serial_speedup,grouped_vs_concurrent_speedup,grouped_vs_torch_speedup
128,4,0.13352080583572387,0.30497519969940184,0.018929199874401094,0.43780873319315267,7.053695175795082,16.11136243068758,15.352640376170642
128,8,0.13497799634933472,0.3091200113296509,0.020953600108623505,0.4366524048984712,6.441756817425574,14.752596676808382,13.869368355499537
256,4,0.1410048007965088,0.31600639820098875,0.018508799374103546,0.44620868944186964,7.618257562065027,17.073306150971998,15.701353308034873
256,8,0.13597439527511596,0.30504961013793946,0.01721680015325546,0.44574518621292486,7.897773922258432,17.71813620548176,16.879628949249522
512,4,0.13882919549942016,0.31434240341186526,0.01990399956703186,0.4416495960855782,6.974939636221201,15.792926559972834,14.600743800341206
512,8,0.13722879886627198,0.3107968091964722,0.020032000541687012,0.4415386349076767,6.8504789913866055,15.515016013987095,14.50744760492405
1024,4,0.1364627957344055,0.3127540111541748,0.01998160034418106,0.4363262847718842,6.82942273811144,15.652100220553825,14.544040180693804
1024,8,0.13798559904098512,0.3105184078216553,0.021862399578094483,0.44437172021130694,6.311548672783515,14.203308594395379,13.292831705972516
2048,4,0.13808879852294922,0.31829760074615476,0.020057600736618043,0.43383549922852327,6.884611990049648,15.86917622530279,14.488931258352261
2048,8,0.1327232003211975,0.30566399097442626,0.018679599463939666,0.43421274419040723,7.105248727490926,16.36351954786291,15.55778531768593
4096,4,0.13841919898986815,0.31147520542144774,0.02568959891796112,0.44439877261683575,5.388141692359825,12.12456474762932,11.312484839035365
4096,8,0.13501440286636351,0.3171072006225586,0.02128639966249466,0.4257689595231436,6.34275429415387,14.897174047769203,13.652529450171757
