block_size,warps,serial_ms,concurrent_ms,grouped_ms,concurrent_vs_serial_speedup,grouped_vs_serial_speedup,grouped_vs_concurrent_speedup,grouped_vs_torch_speedup
128,4,0.13489919900894165,0.30424320697784424,0.018291200697422027,0.4433926408709114,7.375087138372192,16.633309754275697,13.996019394514894
128,8,0.13260799646377563,0.3054476022720337,0.01839359998703003,0.4341431901163659,7.209463974278127,16.606189244488053,13.918101942556127
256,4,0.13954240083694458,0.3110527992248535,0.019171200692653656,0.44861322960180894,7.278751241199869,16.22500354628534,13.35357152711791
256,8,0.13763840198516847,0.30621440410614015,0.01802240014076233,0.4494837608535887,7.637073914137748,16.99076714058506,14.204767273536648
512,4,0.1315044045448303,0.3057791948318481,0.01791999936103821,0.43006328346552897,7.33841569385031,17.063571748594782,14.285937993206002
512,8,0.1050879955291748,0.2567552089691162,0.014760799705982208,0.4092925551583077,7.119397161563346,17.39439692180494,17.343504742925994
1024,4,0.10480519533157348,0.2684416055679321,0.014745600521564484,0.39042083327523297,7.107556940682252,18.204860844789177,17.36138174472405
1024,8,0.10170880556106568,0.2373739957809448,0.01471879929304123,0.42847492719853497,6.910129252808799,16.127266297677608,17.392994809781587
2048,4,0.10099200010299683,0.23196160793304443,0.014476799964904785,0.43538239367675063,6.976127344981316,16.022989092573958,17.683742286326936
2048,8,0.09981520175933838,0.22082560062408446,0.013491199910640716,0.4520091940302504,7.398541450758031,16.368121596798513,18.97562866207095
4096,4,0.10867199897766114,0.2487560033798218,0.014655999839305878,0.4368618143930038,7.414847173115686,16.972980766053496,17.467522005800433
4096,8,0.10161919593811035,0.23165440559387207,0.013580800592899322,0.4386672279234152,7.482562993469002,17.057492598410718,18.850435065215073
