load_class,shape_label,n_elements,variant_id,block_size,warps,isolated_ms,background_only_ms,step_ms,overlap_ratio
idle,small,262144,B512_W4,512,4,0.024512000381946564,0.0,0.08524800091981888,0.0
compute,small,262144,B512_W4,512,4,0.024512000381946564,0.01783199980854988,0.13636000454425812,-2.220291043141983
memory,small,262144,B512_W4,512,4,0.024512000381946564,0.011008000001311302,0.1233920007944107,-2.473873858756228
idle,small,262144,B1024_W4,1024,4,0.023296000435948372,0.0,0.08337599784135818,0.0
compute,small,262144,B1024_W4,1024,4,0.023296000435948372,0.01783199980854988,0.13439999520778656,-2.2678465864813213
memory,small,262144,B1024_W4,1024,4,0.023296000435948372,0.011008000001311302,0.14003199338912964,-3.0820893074917386
idle,large,524288,B512_W4,512,4,0.02664799988269806,0.0,0.0780080035328865,0.0
compute,large,524288,B512_W4,512,4,0.02664799988269806,0.01783199980854988,0.12697599828243256,-1.8546762401937888
memory,large,524288,B512_W4,512,4,0.02664799988269806,0.011008000001311302,0.11368799954652786,-2.0191204561482254
idle,large,524288,B1024_W4,1024,4,0.027063999325037003,0.0,0.0793600007891655,0.0
compute,large,524288,B1024_W4,1024,4,0.027063999325037003,0.01783199980854988,0.12625600397586823,-1.8121883110385126
memory,large,524288,B1024_W4,1024,4,0.027063999325037003,0.011008000001311302,0.11673600226640701,-2.066190489912572
